codigo_producto,descripcion,tiene_imagen,archivos_imagen,sku_actual,nota
050304,,NO,,,
07011,,SI,07011_1.png,,
07013,,SI,07013_1.png,,
1015,,NO,,,
10750,Crunchy Protein Raspberry 12 x 50 g,SI,10750_2.png,,
10752,,SI,10752_2.png,,
10755,,NO,,,
10757,,NO,,,
10762,Crunchy Protein Chocolate - Banana 1555 g,SI,10762_2.png,,
12100,Magnesium Plus Fruitmix 20 x 6.5 g,SI,12100_1.png;12100_2.png,,
12105,,SI,12105_1.png;12105_2.jpg;12105_3.png,,
12121,Low Carb Burner Wild Berries 20 x 6g,SI,12121_1.png;12121_2.png,,
12125,Lipox Burner Raspberry 110 g,SI,12125.png,,
12130,Electrolytes Fruitmix 12 x 10 Tabs,SI,12130_2.png,,
12132,,SI,12132_2.png,,
12134,Electrolytes Red Orange 12 x 10 Tabs,SI,12134_2.png,,
12136,Electrolytes Berry 12 x 10 Tabs,SI,12136_1.png,,
12138,Electrolytes Cherry 12 x 10 Tabs,SI,12138_2.png,,
1295,,NO,,,
1297,,NO,,,
1298,,NO,,,
1299,,NO,,,
13014,,SI,13014.png,,
13016,,SI,13016.png,,
1302,,NO,,,
1303,,NO,,,
1306,Carbo Fuel Blackcurrant 10 x 83g,SI,1306.png,08227,match manual: Carbo Fuel Blackcurrant -> Display 10x83g
1307,,NO,,,
1308,,NO,,,
1309,Sport Biotics 90 caps,SI,1309.png,45010,match manual: Sport Biotics 90 caps -> SKU renumerado
14210,,SI,14210_2.png,,
14218,Oat Pack Creamy Caramel 25 x 50 g,SI,14218_2.png,,
15026,High Energy Salty + Nuts 30 x 45 g,SI,15026_2.png,,
15030,High Energy Apricot-Vanilla 30 x 45 g,SI,15030_2.png,,
15032,High Energy Berry 30 x 45 g,SI,15032_2.png,,
15034,High Energy Banana 30 x 45 g,SI,15034_2.png,,
15041,Energy Balls Blueberry 18 x 45 g,SI,15041_2.png,,
15043,Energy Balls Mango 18 x 45 g,SI,15043_2.png,,
15045,Energy Balls Salted Caramel 18 x 45 g,SI,15045_2.png,,
17114,Liquid Energy Plus 40 x 35 g,SI,17114_2.png,,
17115,,NO,,,
17143,,SI,17143_2.png,,
17222,Liquid Energy Pure 18 x 70 g,SI,17222.png,17223,match manual: Liquid Energy Pure 18x70g -> Display 18x70g
17322,Liquid Energy Plus 18 x 70 g,SI,17322.png,17324,"match manual: Liquid Energy Plus 18x70g (con cafeina, cola-lemon descontinuado) -> Display 18x70g"
17323,,NO,,,
17400,Liquid Energy BCAA Strawberry Banana 18 x 70 g,SI,17400.png,17402,match manual: Liquid Energy BCAA Strawberry-Banana 18x70g -> Display 18x70g
17501,Carnitin 1000 Peach 30 x 25 ml,SI,17501_2.png,,
17504,Activator 200 Fruit Boost 30 x 25 ml,SI,17504_2.png,,
17505,,NO,,,
17507,Magnesium 375 Exotic 30 x 25 ml,SI,17507_3.png;17517_2.png,,
17508,,SI,17508_2.png,,
17521,Caffeine Caps 90 Caps,SI,17521_1.png;17521_2.png,,
17700,Power Gums Fruitmix 20 x 75 g,SI,17700_2.png,,
17704,Power Gums Cola 20 x 75 g,SI,17704_2.png;17705_3.jpg,,
17706,Power Gums Sour 20 x 75 g,SI,17706_2.png,,
18100,,NO,,,
18101,Recovery Drink Strawberry-Banana 20 x 60 g,SI,18101_3.png,,
18121,Recovery Drink Strawberry-Banana 1200 g,SI,18121_1.png,,
191070,,NO,,,
20002,Creatine Monohydrate Pure 500 g,SI,20002_1.png;20002_2.jpg,,
21008,,NO,,,
21010,,SI,21010.png,,
210377,,NO,,,
25002,,SI,25000_3.jpg;25002_2.png,,
25040,,SI,25040.png,,
26001,,SI,26001_1.png,,
26004,,SI,26004_2.png,,
26005,,SI,26005_3.png,,
26006,,NO,,,
26007,,NO,,,
26008,,NO,,,
26009,,NO,,,
26010,,NO,,,
26020,,SI,26020_1.png;26020_2.png,,
26021,,NO,,,
26093,,NO,,,
26100,,SI,26104.png,,
26101,,SI,26101_1.webp;26101_2.png,,
26104,,SI,26104.png,,
26107,,SI,26107_1.png,,
26111,,SI,26101_1.webp;26111_15.png,,
26117,,NO,,,
26121,,SI,26101_1.webp;26121_12.png,,
26123,,SI,26101_1.webp;26123_14.png,,
26124,,SI,26101_1.webp;26124_16.png,,
26127,,SI,26101_1.webp;26127_3.png,,
26141,,NO,,,
26142,,SI,26101_1.webp;26142_13.png,,
26151,,NO,,,
2621,Cereal Energy Plus Cranberry 15 x 40 g,SI,02621_2.png,,
2721,Cereal Energy Bar Strawberry 20 x 40 g,SI,02721_2.png,,
300675,,NO,,,
3525,,SI,03525.png,,
3527,,SI,03527.png,,
4004,,SI,04004_1.png,,
44016,,NO,,,
44017,Whey Isolate 94 Strawberry 1500 g,NO,,,
44018,,NO,,,
44019,,NO,,,
44022,Amino 12500 Cherry 30 x 25 ml,SI,44022_2.png,,
44031,,SI,44031.png,,
44033,,SI,44033.png,,
44052,,SI,44052_1.png;44052_2.jpg,,
44056,HMB & Creatine Synergy Pure 320 g,SI,44056.png,,
44060,,NO,,,
44068,Protein Cookie Dough 20 x 50 gr,SI,44068_2.png,,
44071,Red Beet Vinitrox 4 x 60 ml,SI,44071_1.png;44071_2.png,,
44072,Nitroflow Performance 10 x 7 g,SI,44072_1.png;44072_2.png;44072_3.png,,
4500,Carbo Loader Citrus-Orange 1200 g,SI,04500_1.png,,
45002,,SI,45002_1.png;45002_2.png,,
45003,Mental Focus Herbs Berries 150 gr,SI,45003_1.png;45003_2.png,,
45005,Relax & Recover Orange-Peach 120g,SI,45005.png,,
45006,Daily Greens 90 Caps,SI,45006_1.png,,
4502,Carbo Loader Citrus-Orange 15 x 75 g,SI,04502_3.png,,
45117,Protein Low Carb Choco Brownie 25 x 50 g,SI,45117_2.png,,
45120,,NO,,,
45203,Immunoguard Blackcurrant 10 x 4 g,SI,45203_1.png;45203_2.png,,
45207,Glucosamin Chondroitin 180 Tabs,SI,45207.png,,
45212,Omega-3 Plus Citrus 150 ml,SI,45212_1.png;45212_2.png;45212_3.png;45212_4.png,,
45215,,NO,,,
45225,Lactoferrin 90 Caps,SI,45225_1.png;45225_2.png,,
45230,Collagen Hydrolsate Neutral 300 gr,SI,45230_1.png,,
45231,Collagen Hydrolsate Peach 300 gr,SI,45231_1.png;45231_2.jpg,,
4614,,NO,,,
4616,Salt Caps 120 Caps,SI,04616.png,,
