codigo_producto,descripcion,lote_id,cantidad,fecha_vencimiento
17504,Activator 200 Fruit Boost 30 x 25 ml,l58/9001,21.0,2026-11-01
44022,Amino 12500 Cherry 30 x 25 ml,l59/1003,17.0,2026-12-01
6153,Beta Alanine 140 Tabs,l25/0710,4.0,2027-07-01
4622,BICARB CAPS 300,L25/1027,2.0,2028-10-01
17521,Caffeine Caps 90 Caps,l24/a047,90.0,2026-10-01
1306,Carbo Fuel Blackcurrant 10 x 83g,L2503331/02,90.0,2027-04-01
8225,Carbo Fuel Blackcurrant 1000 g,L240924A,8.0,2026-09-01
4500,Carbo Loader Citrus-Orange 1200 g,L230905,4.0,2026-12-01
4502,Carbo Loader Citrus-Orange 15 x 75 g,L900837,2.0,2028-01-01
17501,Carnitin 1000 Peach 30 x 25 ml,L49/300,2.0,2026-12-01
2721,Cereal Energy Bar Strawberry 20 x 40 g,L5304-03,3.5,2027-02-01
2621,Cereal Energy Plus Cranberry 15 x 40 g,L0513019,3.5,2026-12-01
7160,Clear Iso Whey Blueberry 450 gr,L25009,5.0,2027-08-01
7161,Clear Iso Whey Orange-Yuzu 450gr,L250911,11.0,2027-08-01
7162,Clear Iso Whey Watermelon 450gr,L250408A,3.0,2027-03-01
45230,Collagen Hydrolsate Neutral 300 gr,L260219,4.0,2027-11-01
45231,Collagen Hydrolsate Peach 300 gr,L251031,4.0,2027-10-01
8203,Competition Citrus 1000 g,L260325,24.0,2029-02-01
8207,Competition Cool Mint 1000 g,L251014,24.0,2028-09-01
8217,Competition Cool Mint 800 g,L260402,46.0,2029-03-01
8206,Competition Fruitmix 1000 g,L260414,24.0,2029-03-01
8216,Competition Fruitmix 800 g,L260225,48.0,2029-02-01
8202,Competition Orange 1000 g,L260202,24.0,2028-12-01
8222,Competition Orange 20 x 60 g,L901268,4.15,2028-09-01
8212,Competition Orange 800 g,L260505,39.0,2028-12-01
8205,Competition Raspberry 1000 g,L260413,45.0,2029-03-01
8215,Competition Raspberry 800 g,L260413,33.0,2029-03-01
20002,Creatine Monohydrate Pure 500 g,L260416,53.0,2028-04-01
10762,Crunchy Protein Chocolate - Banana 1555 g,L174364,5.0,2027-02-01
10750,Crunchy Protein Raspberry 12 x 50 g,L04/2027,6.0,2027-04-01
45006,Daily Greens 90 Caps,L240708,1.0,2026-08-01
12136,Electrolytes Berry 12 x 10 Tabs,L245720,26.417,2028-08-01
12138,Electrolytes Cherry 12 x 10 Tabs,L238134,20.917,2027-07-01
12130,Electrolytes Fruitmix 12 x 10 Tabs,L243338,51.147,2028-03-01
12140,Electrolytes Pure 200 gr,L260212,9.0,2028-01-01
12134,Electrolytes Red Orange 12 x 10 Tabs,L241674,17.257,2028-01-01
