codigo_producto,descripcion,daily_demand,dias_horizonte,unidades_en_inventario,unidades_en_riesgo_vencimiento,unidades_cubiertas_por_ofertas,unidades_a_pedir
12136,Electrolytes Berry 12 x 10 Tabs,0.4972787772684629,541,26.417,0.0,0.0,242
4616,Salt Caps 120 Caps,0.4993651196793894,541,44.0,0.0,0.0,226
4620,Muscle Relax 4 x 30 ml,0.5114740737652587,541,65.7,0.0,0.0,211
17322,Liquid Energy Plus 18 x 70 g,0.4102196014700899,523,36.5,0.0,0.0,178
8205,Competition Raspberry 1000 g,0.3975694345327195,541,45.0,0.0,0.0,170
12130,Electrolytes Fruitmix 12 x 10 Tabs,0.3686845531439042,541,51.147,0.0,0.0,148
17222,Liquid Energy Pure 18 x 70 g,0.3307956191292291,541,49.5,0.0,0.0,129
12134,Electrolytes Red Orange 12 x 10 Tabs,0.2381801550457392,541,17.257,0.0,0.0,111
12138,Electrolytes Cherry 12 x 10 Tabs,0.3189766880951281,400,20.917,0.0,0.0,106
17507,Magnesium 375 Exotic 30 x 25 ml,0.4879913233379831,309,50.0,0.0,0.0,100
8215,Competition Raspberry 800 g,0.2250622782809333,541,33.0,0.0,0.0,88
8206,Competition Fruitmix 1000 g,0.1925347614049542,541,24.0,0.0,0.0,80
20002,Creatine Monohydrate Pure 500 g,0.2326818930668503,541,53.0,0.0,0.0,72
17400,Liquid Energy BCAA Strawberry Banana 18 x 70 g,0.4314067084640402,339,81.44,0.0,0.0,64
17504,Activator 200 Fruit Boost 30 x 25 ml,0.4703491680938378,250,57.0,0.0,0.0,60
8222,Competition Orange 20 x 60 g,0.1197656814665968,541,4.15,0.0,0.0,60
44022,Amino 12500 Cherry 30 x 25 ml,0.3798640333271615,188,17.0,0.0,0.0,54
8207,Competition Cool Mint 1000 g,0.1452650573261514,541,24.0,0.0,0.0,54
8202,Competition Orange 1000 g,0.1366252245591227,541,24.0,0.0,0.0,49
8216,Competition Fruitmix 800 g,0.1602249939648756,541,48.0,0.0,0.0,38
45203,Immunoguard Blackcurrant 10 x 4 g,0.1163784997472647,541,25.0,0.0,0.0,37
18121,Recovery Drink Strawberry-Banana 1200 g,0.1020467790651088,462,16.0,0.0,0.0,31
17704,Power Gums Cola 20 x 75 g,0.0912689325327144,462,10.45,0.0,0.0,31
18101,Recovery Drink Strawberry-Banana 20 x 60 g,0.0948598934912949,400,7.7,0.0,0.0,30
6153,Beta Alanine 140 Tabs,0.0867039743336644,400,4.0,0.0,0.0,30
17706,Power Gums Sour 20 x 75 g,0.0996844766694533,339,3.2,0.0,0.0,30
8143,Isotonic Peach 1000 g,0.0631148985767268,541,5.0,0.0,0.0,29
4700,Long Energy Berry 1000 g,0.0682323411498271,541,7.0,0.0,0.0,29
17501,Carnitin 1000 Peach 30 x 25 ml,0.1567322060809872,188,2.0,0.0,0.0,27
7162,Clear Iso Whey Watermelon 450gr,0.0691600761630134,541,11.0,0.0,0.0,26
7160,Clear Iso Whey Blueberry 450 gr,0.0728841176783583,431,5.0,0.0,0.0,26
7002,Whey Isolate 94 Vanilla 425 g,0.0542174235719323,541,3.0,0.0,0.0,26
45207,Glucosamin Chondroitin 180 Tabs,0.0922710329956716,339,6.0,0.0,0.0,25
8118,Isotonic Fruitmix 1000 g,0.0523914109576659,541,4.0,0.0,0.0,24
15034,High Energy Banana 30 x 45 g,0.1795758531625641,250,21.23,0.0,0.0,23
4622,BICARB CAPS 300,0.0447457867971874,541,2.0,0.0,0.0,22
12100,Magnesium Plus Fruitmix 20 x 6.5 g,0.1399032494308415,219,9.0,0.0,0.0,21
8154,Isotonic Ice Tea 1000 g,0.0554524421435391,541,8.0,0.0,0.0,21
8212,Competition Orange 800 g,0.108805431252175,541,39.0,0.0,0.0,19
7715,Senior Protein Orange-Yoghurt 455 g,0.0520069662109653,523,9.0,0.0,0.0,18
15030,High Energy Apricot-Vanilla 30 x 45 g,0.1319336790218509,250,15.0,0.0,0.0,17
4502,Carbo Loader Citrus-Orange 15 x 75 g,0.0726625787648475,541,22.0,0.0,0.0,17
2721,Cereal Energy Bar Strawberry 20 x 40 g,0.0833419853256559,250,3.5,0.0,0.0,17
17114,Liquid Energy Plus 40 x 35 g,0.067549562971791,400,12.0,0.0,0.0,15
44071,Red Beet Vinitrox 4 x 60 ml,0.1816961111844746,219,24.0,0.0,0.0,15
8210,Ultra Competition Neutral 1000 g,0.2257045927730332,59,0.0,0.0,0.0,13
8123,Isotonic Red Orange 1000 g,0.0328799820151092,541,5.0,0.0,0.0,12
14218,Oat Pack Creamy Caramel 25 x 50 g,0.0993582509375926,219,9.0,0.0,0.0,12
4500,Carbo Loader Citrus-Orange 1200 g,0.0863395028625187,188,4.0,0.0,0.0,12
8213,Competition Citrus 800 g,0.1835382906282027,59,0.0,0.0,0.0,11
26009,Bottle black/silver 500 ml,0.1929792787815293,59,0.0,0.0,0.0,11
10750,Crunchy Protein Raspberry 12 x 50 g,0.0579150145986254,309,6.0,0.0,0.0,11
17700,Power Gums Fruitmix 20 x 75 g,0.1012731788577392,219,12.0,0.0,0.0,10
26001,Bottle white/red 500 ml,0.1743989577450289,59,0.0,0.0,0.0,10
44072,Nitroflow Performance 10 x 7 g,0.1508732840775806,278,31.0,0.0,0.0,10
7161,Clear Iso Whey Orange-Yuzu 450gr,0.0466521152797025,431,11.0,0.0,0.0,9
26101,Bottle white/red 750 ml,0.1614666991910053,59,0.0,0.0,0.0,9
8217,Competition Cool Mint 800 g,0.101608697292095,541,46.0,0.0,0.0,8
10762,Crunchy Protein Chocolate - Banana 1555 g,0.0558839558833912,250,5.0,0.0,0.0,8
4004,Maltodextrin 100 Pure 900 g,0.1393225333465746,59,0.0,0.0,0.0,8
2621,Cereal Energy Plus Cranberry 15 x 40 g,0.061886799126536,188,3.5,0.0,0.0,8
1308,Carbo Hydrogel Mint 20 x 60g,0.119580232655619,59,0.0,0.0,0.0,7
45006,Daily Greens 90 Caps,0.128044123473964,66,1.0,0.0,0.0,7
15043,Energy Balls Mango 18 x 45 g,0.0668341020755367,188,5.73,0.0,0.0,6
1307,Carbo Hydrogel Neutral 20 x 60 g,0.1182225358135406,59,0.0,0.0,0.0,6
15041,Energy Balls Blueberry 18 x 45 g,0.0513698566007607,188,3.0,0.0,0.0,6
44068,Protein Cookie Dough 20 x 50 gr,0.0484895901308728,250,6.0,0.0,0.0,6
12121,Low Carb Burner Wild Berries 20 x 6g,0.062422878088243,339,17.0,0.0,0.0,4
15045,Energy Balls Salted Caramel 18 x 45 g,0.0465467117642384,219,6.0,0.0,0.0,4
26123,Bottle silver/black 750 ml,0.0754637061372878,59,0.0,0.0,0.0,4
26005,Bottle pink/silver 500 ml,0.0655635156861256,59,0.0,0.0,0.0,3
26008,Bottle blue metallic/silver 500 ml,0.0578648577471657,59,0.0,0.0,0.0,3
12105,Magnesium 6-Complex 80 Caps,0.0572529429403043,59,0.0,0.0,0.0,3
26100,Bottle transparent/red 1000 ml,0.0621473676899754,59,0.0,0.0,0.0,3
191070,BLISTER 0.7,0.0450937615816724,59,0.0,0.0,0.0,2
8029,Isotonic Red Orange 20 x 52 g,0.0173230254222363,541,6.5,0.0,0.0,2
300675,"BLISTER MEDIDA 0,5",0.0450937615816724,59,0.0,0.0,0.0,2
07013,Whey Isolate 94 Banana 425,0.0457513578957709,59,0.0,0.0,0.0,2
12125,Lipox Burner Raspberry 110 g,0.0527102261079447,339,15.0,0.0,0.0,2
210377,BLISTER 0.8,0.0450937615816724,59,0.0,0.0,0.0,2
13014,Carnitin 1000 Red Orange 400 g,0.0358533026114926,59,0.0,0.0,0.0,2
4706,Long Energy Fruitmix 1200 g,0.0488146612456631,59,0.0,0.0,0.0,2
050304,BLISTER 0.6,0.0450937615816724,59,0.0,0.0,0.0,2
9302,Power Porridge Apple-Vanilla 840 g,0.0491872113572675,59,0.0,0.0,0.0,2
07011,Whey Isolate 94 Cookies and Cream  425 g,0.0247500031475223,59,0.0,0.0,0.0,1
8225,Carbo Fuel Blackcurrant 1000 g,0.0941026878412648,97,8.0,0.0,0.0,1
4614,Lactat Buffer Lemon 600 g,0.0195879810342077,59,0.0,0.0,0.0,1
44052,Pre-Workout Booster Apple-Raspberry 256 g,0.0310207965954886,59,0.0,0.0,0.0,1
44016,Whey Isolate 94 Banane 1500 g,0.0247500031475223,59,0.0,0.0,0.0,1
26020,Pro bottle 500 ml white/red,0.0224300925771514,59,0.0,0.0,0.0,1
21010,Wave Shaker 600ml,0.0216124492903525,59,0.0,0.0,0.0,1
45225,Lactoferrin 90 Caps,0.1074075625851317,541,273.0,0.0,0.0,0
45005,Relax & Recover Orange-Peach 120g,0.0797379863242126,541,315.0,22.832839801869127,0.0,0
15026,High Energy Salty + Nuts 30 x 45 g,0.0941667204700722,158,15.84,0.9616581657285832,0.0,0
17521,Caffeine Caps 90 Caps,0.0522423816992915,127,90.0,83.36521752419016,0.0,0
45003,Mental Focus Herbs Berries 150 gr,0.045635116354811,66,35.0,32.22422635567955,0.0,0
1306,Carbo Fuel Blackcurrant 10 x 83g,0.0498018699148107,309,90.0,74.6112221963223,0.0,0
45212,Omega-3 Plus Citrus 150 ml,0.0327064883736226,541,270.0,0.0,0.0,0
1309,Sport Biotics 90 caps,0.0183663751884813,339,274.0,267.773798811108,0.0,0
45117,Protein Low Carb Choco Brownie 25 x 50 g,0.0170294500925105,97,4.0,2.347926050635486,0.0,0
6210,L-Glutamine 350 g,0.0166736531813254,339,17.0,11.347631571530796,0.0,0
44056,HMB & Creatine Synergy Pure 320 g,0.015765050118941,541,10.0,0.0,0.0,0
10752,Crunchy Protein Peanut-Caramel 12 x 50 g,0.0,59,0.0,0.0,0.0,0
17115,Liquid Energy Ultra 40 x 25 g,0.0,59,0.0,0.0,0.0,0
15032,High Energy Berry 30 x 45 g,0.0,339,9.0,0.0,0.0,0
1303,Power Gums Fruitmix 75 g UNIDAD,0.0,59,0.0,0.0,0.0,0
14210,Oat Pack Macadamia & Chufas 30 x 60 g,0.0,59,0.0,0.0,0.0,0
1298,High Energy Berry 45 g,0.0,59,0.0,0.0,0.0,0
1299,Liquid Energy BCAA Strawberry Banana 70 g,0.0,59,0.0,0.0,0.0,0
13016,Carnitin 1000 Lemon-Elderberry 400 g,0.0,59,0.0,0.0,0.0,0
1302,Power Gums Sour 75 g UNIDAD,0.0,59,0.0,0.0,0.0,0
12132,Electrolytes Lemon 12 x 10 Tabs,0.0,59,0.0,0.0,0.0,0
1297,High Energy Banana 45 g,0.0,59,0.0,0.0,0.0,0
10755,Protein Crunchy Cookies Cream 15 x 50 g,0.0,59,0.0,0.0,0.0,0
10757,Protein Crunchy Strawberry 15 x 50 g,0.0,59,0.0,0.0,0.0,0
26142,Bottle white/gold 750 ml,0.0,59,0.0,0.0,0.0,0
26117,Bottle orange/silver 750 ml,0.0,59,0.0,0.0,0.0,0
26111,Bottle blue metallic/silver 750 ml,0.0,59,0.0,0.0,0.0,0
26124,Bottle black/silver 750 ml,0.0,59,0.0,0.0,0.0,0
