fecha,codigo_producto,unidades_vendidas,monto_total,num_facturas
2023-04-29,10752,1.0,36.55,1
2023-04-29,12100,2.0,33.04,1
2023-04-29,12130,8.0,421.28,1
2023-04-29,12134,5.0,263.3,1
2023-04-29,12136,13.0,684.58,1
2023-04-29,13014,3.0,83.64,1
2023-04-29,15030,6.0,371.72999999999996,2
2023-04-29,15032,6.0,376.36,2
2023-04-29,15034,10.0,596.3000000000001,2
2023-04-29,17222,21.0,1235.96,2
2023-04-29,17322,21.0,1268.49,2
2023-04-29,17501,13.0,593.97,2
2023-04-29,17504,4.0,179.66,1
2023-04-29,17507,38.0,1618.53,2
2023-04-29,17508,12.0,538.99,1
2023-04-29,17700,7.0,433.66999999999996,2
2023-04-29,17704,2.0,125.97,1
2023-04-29,18101,1.0,66.6,1
2023-04-29,20002,8.0,262.27,1
2023-04-29,2621,4.0,178.11,1
2023-04-29,2721,5.0,175.52999999999997,2
2023-04-29,3527,4.0,129.07,1
2023-04-29,44022,42.0,2959.8100000000004,2
2023-04-29,44052,3.0,117.71,1
2023-04-29,4500,7.0,205.99,1
2023-04-29,4502,4.0,157.99,2
2023-04-29,45207,2.0,67.63,1
2023-04-29,45225,2.0,88.8,1
2023-04-29,4616,15.0,367.85,1
2023-04-29,4620,12.0,170.37,1
2023-04-29,4710,1.0,19.36,1
2023-04-29,7154,1.0,99.9,1
2023-04-29,8203,4.0,91.89,1
2023-04-29,8205,16.0,367.59,2
2023-04-29,8206,16.0,367.59,2
2023-04-29,8222,7.0,296.35,1
2023-04-29,9302,2.0,50.59,1
2023-05-04,12100,3.0,49.57,1
2023-05-04,14218,6.0,290.41,1
2023-05-04,15030,1.0,61.96,1
2023-05-04,15032,1.0,62.73,1
2023-05-04,17222,4.0,235.43,1
2023-05-04,17322,7.0,422.83,1
2023-05-04,17501,2.0,91.38,1
2023-05-04,17504,2.0,89.83,1
2023-05-04,17700,1.0,61.96,1
2023-05-04,17704,4.0,251.95,1
2023-05-04,18101,2.0,133.2,1
2023-05-04,20002,4.0,131.13,1
2023-05-04,26124,2.0,7.74,1
2023-05-04,3525,2.0,64.53,1
2023-05-04,44022,5.0,352.36,1
2023-05-04,4502,2.0,78.99,1
2023-05-04,4616,5.0,122.62,1
2023-05-04,6210,1.0,25.17,1
2023-05-04,6304,1.0,29.69,1
2023-05-04,6307,1.0,45.69,1
2023-05-04,7715,1.0,39.5,1
2023-05-04,8203,12.0,275.69,1
2023-05-04,8205,6.0,137.85,1
2023-05-04,8206,3.0,68.92,1
2023-05-04,8222,1.0,42.34,1
2023-05-12,12100,2.0,33.04,1
2023-05-12,12136,1.0,52.66,1
2023-05-12,13014,1.0,27.88,1
2023-05-12,15030,1.0,61.96,1
2023-05-12,15032,1.0,62.73,1
2023-05-12,15034,1.0,59.63,1
2023-05-12,17222,4.0,235.43,1
2023-05-12,17322,2.0,120.8,1
