codigo_producto,skus_asociados,handle,titulo,variante,archivo_imagen,url_origen,ancho_px,alto_px,codigo_producto_norm
17518,17518,activator-200-ampullen-cola-lemon,Activator 200 | Cola-Lemon,Ampoulle (25 ml),17518_1.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Activator-200_Cola-Lemon.png?v=1719384146,2000,2000,17518
17508,17508,activator-200-ampullen-cola-lemon,Activator 200 | Cola-Lemon,Display (30 x 25 ml),17508_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Activator-200_Display_Cola-Lemon.png?v=1719384146,2000,2000,17508
17514,17514,activator-200-ampullen-fruit-boost,Activator 200 | Fruit Boost,Ampoule (25 ml),17514_1.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Activator-200_25ml_Fruit-Boost.png?v=1784020420,2000,2000,17514
17504,17504,activator-200-ampullen-fruit-boost,Activator 200 | Fruit Boost,Display (30 x 25 ml),17504_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Activator-200_Display_Fruit-Boost_35c687b3-6162-4108-bdf9-d6b6d2d17a61.png?v=1784020433,2000,2000,17504
44023,44023,amino-12500-cherry,Amino 12500 | Cherry,Ampoulle (25 ml),44023_1.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Amino-12500_Cherry.png?v=1719384184,2000,2000,44023
44022,44022,amino-12500-cherry,Amino 12500 | Cherry,Display (30 x 25 ml),44022_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Amino-12500_Display_Cherry.png?v=1719384184,2000,2000,44022
44027,44027,amino-eaa-neutral,Amino EAA | Neutral,Jar (140 pce.),44027.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Amino-EAA.png?v=1719384198,2000,2000,44027
29903,29903,bar-test-package,Bar test package,,29903.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Riegel-Testpaket_2026.png?v=1774444048,1000,1000,29903
23501,23501,barrel-15-liter,Barrel 15 liter,,23501.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/products/fass_01_2k_1_2f01a688-6198-44fa-b129-00b5e93dcea6.png?v=1678724066,1000,1000,23501
23502,23502,barrel-30-liter,Barrel 30 liter,,23502.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/products/fass_30l_1_a823133f-c983-475c-aab7-bca0654b725f.png?v=1678724070,1000,1000,23502
45002,45002,basic-minerals-citrus,Basic Minerals | Citrus,,45002_1.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Basic-Minerals_Citrus_a0007429-3c30-431f-93e9-8ea2798c0aa4.png?v=1776419304,2000,2000,45002
45002,45002,basic-minerals-citrus,Basic Minerals | Citrus,,45002_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Basic-Minerals_Citrus_back.png?v=1776419316,2000,2000,45002
06307,06307,bcaa-capsules,BCAA Capsules,Jar (350 pce.),06307.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/BCAA_Caps.png?v=1783067891,2000,2000,6307
06304,06304,bcaa-instant-cola,BCAA Instant | Cola,Jar (200 g),06304.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/BCAA-Instant_Cola.png?v=1719384449,2000,2000,6304
06305,06305,bcaa-instant-neutral,BCAA Instant | Neutral,,06305.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/BCAA-Instant_Pure_2bc4de50-3d6c-40e7-8ba4-9fb5730b3e74.png?v=1781084356,2000,2000,6305
06153,06153,beta-alanine-neutral,Beta Alanine | Neutral,Jar (140 pce.),06153.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Beta-Alanine_12a8cae5-8ab4-4e04-8346-98ce24c42864.png?v=1768314295,2000,2000,6153
04622,04622,bicarb-caps,Bicarb Caps,Jar (300 caps),04622_1.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Bicarb-Caps.png?v=1765451835,2000,2000,4622
04622,04622,bicarb-caps,Bicarb Caps,,04622_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Bicarb-Caps_back.png?v=1777016182,2000,2000,4622
04615,04615,bicarb-plus-drink-lemon,Bicarb Plus Drink | Lemon,,04615.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/2026-07-17_Bicarb-Plus-Drink_Hinweis_Namensaenderung_EN.png?v=1784272243,2000,2000,4615
44054,44054,body-shaper-raspberry,Body Shaper | Raspberry,Jar (187 g),44054.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Body-Shaper_Raspberry.png?v=1719384482,2000,2000,44054
26104,26104;26100,bottle-1000ml,Bottle 1000 ml,,26104.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/products/kombination_e_voransicht_2k_1_f1c7b859-4212-4406-838b-b982b266f5cc.png?v=1678724068,1000,1000,26104
26306,26306,bottle-330ml,Bottle 330 ml,pearl white / red,26306_1.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Bidon_330ml_perlweiss-rot.png?v=1692610057,2000,2000,26306
26309,26309,bottle-330ml,Bottle 330 ml,wild animals,26309_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/products/bidon_kinder_wildtiere_1_6b51550e-09e7-414a-a718-dada47c6443d.png?v=1692610057,1000,1000,26309
26001,26001,bottle-500ml,Bottle 500ml,white / red,26001_1.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Bidon_500ml_weiss-rot.png?v=1714379617,2000,2000,26001
26004,26004,bottle-500ml,Bottle 500ml,transparent / red,26004_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Bidon_500ml_transparent-rot-rot.png?v=1714379617,2000,2000,26004
26005,26005,bottle-500ml,Bottle 500ml,pink / silver,26005_3.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Bidon_500ml_pink-silber.png?v=1714379617,2000,2000,26005
26101,26101;26127;26121;26124;26142;26123;26157;26156;26155;26111;26153;26154;26158;26159;26160,bottle-750ml,Bottle 750ml,,26101_1.webp,https://cdn.shopify.com/s/files/1/0674/2360/0921/files/Bidon_750ml.webp?v=1739876778,2000,2000,26101
26101,26101,bottle-750ml,Bottle 750ml,white / red,26101_2.png,https://cdn.shopify.com/s/files/1/0674/2360/0921/products/Bidon_750ml_weiss-rot_a64d96ab-85b9-47f8-b1af-b7a427299852.png?v=1739876778,2000,2000,26101
