codigo_producto,descripcion,lead_time_days,coverage_days,safety_days,moq,multiple
050304,,21,30,7,1,1
07011,,21,30,7,1,1
07013,,21,30,7,1,1
1015,,21,30,7,1,1
10750,Crunchy Protein Raspberry 12 x 50 g,21,30,7,1,1
10752,,21,30,7,1,1
10755,,21,30,7,1,1
10757,,21,30,7,1,1
10762,Crunchy Protein Chocolate - Banana 1555 g,21,30,7,1,1
12100,Magnesium Plus Fruitmix 20 x 6.5 g,21,30,7,1,1
12105,,21,30,7,1,1
12121,Low Carb Burner Wild Berries 20 x 6g,21,30,7,1,1
12125,Lipox Burner Raspberry 110 g,21,30,7,1,1
12130,Electrolytes Fruitmix 12 x 10 Tabs,21,30,7,1,1
12132,,21,30,7,1,1
12134,Electrolytes Red Orange 12 x 10 Tabs,21,30,7,1,1
12136,Electrolytes Berry 12 x 10 Tabs,21,30,7,1,1
12138,Electrolytes Cherry 12 x 10 Tabs,21,30,7,1,1
1295,,21,30,7,1,1
1297,,21,30,7,1,1
1298,,21,30,7,1,1
1299,,21,30,7,1,1
13014,,21,30,7,1,1
13016,,21,30,7,1,1
1302,,21,30,7,1,1
1303,,21,30,7,1,1
1306,Carbo Fuel Blackcurrant 10 x 83g,21,30,7,1,1
1307,,21,30,7,1,1
1308,,21,30,7,1,1
1309,Sport Biotics 90 caps,21,30,7,1,1
14210,,21,30,7,1,1
14218,Oat Pack Creamy Caramel 25 x 50 g,21,30,7,1,1
15026,High Energy Salty + Nuts 30 x 45 g,21,30,7,1,1
15030,High Energy Apricot-Vanilla 30 x 45 g,21,30,7,1,1
15032,High Energy Berry 30 x 45 g,21,30,7,1,1
15034,High Energy Banana 30 x 45 g,21,30,7,1,1
15041,Energy Balls Blueberry 18 x 45 g,21,30,7,1,1
15043,Energy Balls Mango 18 x 45 g,21,30,7,1,1
15045,Energy Balls Salted Caramel 18 x 45 g,21,30,7,1,1
17114,Liquid Energy Plus 40 x 35 g,21,30,7,1,1
17115,,21,30,7,1,1
17143,,21,30,7,1,1
17222,Liquid Energy Pure 18 x 70 g,21,30,7,1,1
17322,Liquid Energy Plus 18 x 70 g,21,30,7,1,1
17323,,21,30,7,1,1
17400,Liquid Energy BCAA Strawberry Banana 18 x 70 g,21,30,7,1,1
17501,Carnitin 1000 Peach 30 x 25 ml,21,30,7,1,1
17504,Activator 200 Fruit Boost 30 x 25 ml,21,30,7,1,1
17505,,21,30,7,1,1
17507,Magnesium 375 Exotic 30 x 25 ml,21,30,7,1,1
17508,,21,30,7,1,1
17521,Caffeine Caps 90 Caps,21,30,7,1,1
17700,Power Gums Fruitmix 20 x 75 g,21,30,7,1,1
17704,Power Gums Cola 20 x 75 g,21,30,7,1,1
17706,Power Gums Sour 20 x 75 g,21,30,7,1,1
18100,,21,30,7,1,1
18101,Recovery Drink Strawberry-Banana 20 x 60 g,21,30,7,1,1
18121,Recovery Drink Strawberry-Banana 1200 g,21,30,7,1,1
191070,,21,30,7,1,1
20002,Creatine Monohydrate Pure 500 g,21,30,7,1,1
21008,,21,30,7,1,1
21010,,21,30,7,1,1
210377,,21,30,7,1,1
25002,,21,30,7,1,1
25040,,21,30,7,1,1
26001,,21,30,7,1,1
26004,,21,30,7,1,1
26005,,21,30,7,1,1
26006,,21,30,7,1,1
26007,,21,30,7,1,1
26008,,21,30,7,1,1
26009,,21,30,7,1,1
26010,,21,30,7,1,1
26020,,21,30,7,1,1
26021,,21,30,7,1,1
26093,,21,30,7,1,1
26100,,21,30,7,1,1
26101,,21,30,7,1,1
26104,,21,30,7,1,1
26107,,21,30,7,1,1
26111,,21,30,7,1,1
26117,,21,30,7,1,1
26121,,21,30,7,1,1
26123,,21,30,7,1,1
26124,,21,30,7,1,1
26127,,21,30,7,1,1
26141,,21,30,7,1,1
26142,,21,30,7,1,1
26151,,21,30,7,1,1
2621,Cereal Energy Plus Cranberry 15 x 40 g,21,30,7,1,1
2721,Cereal Energy Bar Strawberry 20 x 40 g,21,30,7,1,1
300675,,21,30,7,1,1
3525,,21,30,7,1,1
3527,,21,30,7,1,1
4004,,21,30,7,1,1
44016,,21,30,7,1,1
44017,Whey Isolate 94 Strawberry 1500 g,21,30,7,1,1
44018,,21,30,7,1,1
44019,,21,30,7,1,1
